application_id,Applications,Affected_Applications,Impacted_Services,Affected_Applicaitons_In_Second_Level_Blast_Radius,criticality
4,StreamTV IDS,StreamTV IDS| (ComPS) Commercial Provisioning Services,Enterprise Applications| Enterprise Applications|1e3decb6db1b5380b9f952c8dc961991| 1e3decb6db1b5380b9f952c8dc961991,wdv-as07-01.area4.il.chicago.comcast.net|basatlxs03m.s3ndigital.ga.atlanta.comcast.net|basmanxs08m.manassascc.va.bad.comcast.net|EATS|baschips01m.area4.il.chicago.comcast.net|baschiws01m.area4.il.chicago.comcast.net|baschixs07m.area4.il.chicago.comcast.net|basmanxs03m.manassascc.va.bad.comcast.net|basmanps04m.manassascc.va.bad.comcast.net|Webtop|CAFE|basbeaxs05m.beaverton.or.bverton.comcast.net|RE EA Engagement|BSD DIGITAL - MyAccount|ADV_BROADWORKS|basmanxs05m.manassascc.va.bad.comcast.net|basmanps03m.manassascc.va.bad.comcast.net|baschips03m.area4.il.chicago.comcast.net|baschins01m.area4.il.chicago.comcast.net|basmanxs02m.manassascc.va.bad.comcast.net|basmanxs10m.manassascc.va.bad.comcast.net|basbeaxs04m.beaverton.or.bverton.comcast.net|basmanxs09m.manassascc.va.bad.comcast.net|basatlxs08m.s3ndigital.ga.atlanta.comcast.net|Commercial IMS,3
15,Webtop, Webtop| 2bbb5b35db7a13004b1a5623dc9619d5| 971a13fddb3a13004b1a5623dc9619a4|Webtop| b7bb5b35db7a13004b1a5623dc9619d7| ngtwtd-po-p02.cable.comcast.com|wtpdb-po-p02a.cable.comcast.com| wtpdb-po-p02b.cable.comcast.com| abbb5b35db7a13004b1a5623dc9619d3|1b1a13fddb3a13004b1a5623dc9619a2| 5b1a13fddb3a13004b1a5623dc9619a0| 1b1a13fddb3a13004b1a5623dc9619a2|b7bb5b35db7a13004b1a5623dc9619d7|Blue Planet Operations Manager,Enterprise Applications| EA:BSD:Business Services|EA:BSD:Business Services| Enterprise Applications| 9b951bbddbf613004b1a5623dc9619ce|9b951bbddbf613004b1a5623dc9619ce| 48a55bbddbf613004b1a5623dc96193c,bpomapp-ho-a1e.sys.comcast.net|96b896ca1ba6ec502608c80b234bcb92|BSD DIGITAL - ActiveCore|e5d79fb5db3a13004b1a5623dc9619cf|e7c3505a1b2abc506bbd6316624bcb33|21e3d09e1ba67410f12eeb16624bcb9e|deb856ca1ba6ec502608c80b234bcb15|0bc06c8c1b2c605016434377b04bcb37|381cd3b5db7a13004b1a5623dc9619d1|f41cd3b5db7a13004b1a5623dc9619d3|b9b896ca1ba6ec502608c80b234bcb77|e5d79fb5db3a13004b1a5623dc9619cd|074c98ec1bb9285030de65b82d4bcb49|345cd3f5db7a13004b1a5623dc961900|8656fc201bf9685030de65b82d4bcb6f|c8c93c641b7d685030de65b82d4bcb30|91597c601b7d685030de65b82d4bcb48|43c06c8c1b2c605016434377b04bcb6f|741cd3b5db7a13004b1a5623dc9619d7|8bc06c8c1b2c605016434377b04bcb2a|a3357c641bb9685030de65b82d4bcba9|ff35bc641bb9685030de65b82d4bcb05|b41cd3b5db7a13004b1a5623dc9619d5|685c93f5db7a13004b1a5623dc961905|55d738ec1bf9685030de65b82d4bcb0b|fdb856ca1ba6ec502608c80b234bcb77,2
16,EP- Fintech-EDM-Oracle Web Center Content - WCC,EP- Fintech-EDM-Oracle Web Center Content - WCC| 0819ff25db72df40eaa85a35dc9619c2| Retina Reporting Service| EP- Fintech-EDM-Oracle IPM|Retina Reporting Service| EP- Fintech-EDM-Oracle Web Center Content - WCC,Enterprise Applications| 5f96d83edbdbdf408a79f3861d96193c|5c5487891b5e049497a2ebde6e4bcbb2| EA:Core:Enterprise Platforms|5f96d83edbdbdf408a79f3861d96193c| 04e677eddb32df40eaa85a35dc9619bb|04e677eddb32df40eaa85a35dc9619bb| Enterprise Applications,add77b61db72df40eaa85a35dc9619f2|fdwapp-wc-a2p.sys.comcast.net|7dd77b61db72df40eaa85a35dc9619f8|fdwapp-wc-a1p.sys.comcast.net|EP-Fintech-FDW-Analytics,5
22,CSG Care Express (eCare),CSG Care Express (eCare)| CSG ACP Voice| CSG Network,Enterprise Applications| EA:Core:Payment & Billing| 30fe9a52dbba9300b56bfe18bf961991|30fe9a52dbba9300b56bfe18bf961991|EA:Core:Payment & Billing| Enterprise Applications,ContactService V4|CSG Statements|CSG CAP (CSG Provisioning Interface)|billing-service|XCOS - SCMS|EATS|WFM Scheduling Service|Convoy Orchestration Platform|CSG ACSR|CustomerCareService (GrandslamAccountService) V4|Xfinity.com|CSG ACPx/BCE|xCP - Customer Product Service|CSG ENI|CSG SLBOS|Enterprise Data Grid|CSG Vantage|xCP - Customer Service|CSG ACP Voice|XSP Account Management Service|CSG Interactive Messaging (IM)|CSG CCS (Mainframe)|Consent UI|CSG FSM,1
23,Publish Subscribe Platform, Business Configuration Management| Enterprise Data Grid| Publish Subscribe Platform|Business Configuration Management|Publish Subscribe Platform| EmailService - V4| NetworkService - V4|NetworkService - V4,Enterprise Applications|ab483ce6db3693008a79f3861d9619b5|4c89a1d81ba81814ba12631e6e4bcba5| 63483ce6db3693008a79f3861d9619b5| EA:Core:Core Services|33cc822ddb3a5f408a79f3861d96192d| 4c89a1d81ba81814ba12631e6e4bcba5| 33cc822ddb3a5f408a79f3861d96192d|EA:Core:Core Services|63483ce6db3693008a79f3861d9619b5| Enterprise Applications| ab483ce6db3693008a79f3861d9619b5|b3cc822ddb3a5f408a79f3861d961903,billing-data-service|XSP CPE Inventory Service|XSP Account Management Service|billing-service|Billing Service - Tactical Coherence Caching|esp-api-gateway|Customer Care Grid|OnlineVideoService - V4|Enterprise Data Grid|DTAStateService V4|edgrid-po-j2p.sys.comcast.net|EmailService - V4|EATS|edgrid-po-j1p.sys.comcast.net|NetworkService - V4|XSP - Secure Document Service,3
27,sw91b-d.potomac.co.ndcwest.comcast.net, Webtop|sw91b-d.potomac.co.ndcwest.comcast.net| (CSP) Commercial Integration Services| Data Centers T2E| Blue Planet Operations Manager, Enterprise Applications| Data Center - Network Infrastructure|Data Center - Network Infrastructure,bpomapp-ho-a1e.sys.comcast.net|wtpdb-po-p02b.cable.comcast.com|96b896ca1ba6ec502608c80b234bcb92|BSD DIGITAL - ActiveCore|e5d79fb5db3a13004b1a5623dc9619cf|e7c3505a1b2abc506bbd6316624bcb33|EATS|971a13fddb3a13004b1a5623dc9619a4|21e3d09e1ba67410f12eeb16624bcb9e|deb856ca1ba6ec502608c80b234bcb15|0bc06c8c1b2c605016434377b04bcb37|381cd3b5db7a13004b1a5623dc9619d1|f41cd3b5db7a13004b1a5623dc9619d3|2bbb5b35db7a13004b1a5623dc9619d5|b7bb5b35db7a13004b1a5623dc9619d7|RE EA Engagement|5b1a13fddb3a13004b1a5623dc9619a0|BSD DIGITAL - MyAccount|b9b896ca1ba6ec502608c80b234bcb77|XLOB-HSD|e5d79fb5db3a13004b1a5623dc9619cd|wtpdb-po-p02a.cable.comcast.com|074c98ec1bb9285030de65b82d4bcb49|345cd3f5db7a13004b1a5623dc961900|8656fc201bf9685030de65b82d4bcb6f|c8c93c641b7d685030de65b82d4bcb30|SOP Docker Automation|91597c601b7d685030de65b82d4bcb48|1b1a13fddb3a13004b1a5623dc9619a2|8bc06c8c1b2c605016434377b04bcb2a|43c06c8c1b2c605016434377b04bcb6f|741cd3b5db7a13004b1a5623dc9619d7|a3357c641bb9685030de65b82d4bcba9|ff35bc641bb9685030de65b82d4bcb05|abbb5b35db7a13004b1a5623dc9619d3|b41cd3b5db7a13004b1a5623dc9619d5|685c93f5db7a13004b1a5623dc961905|Elastic Search|55d738ec1bf9685030de65b82d4bcb0b|ngtwtd-po-p02.cable.comcast.com|fdb856ca1ba6ec502608c80b234bcb77|Blue Planet Operations Manager,1
28,CSG ACPx/BCE,CSG Network|CSG ACPx/BCE| CSG ACPx/BCE,Enterprise Applications| ddfeda52dbba9300b56bfe18bf96191b,CSG Statements|CSG CAP (CSG Provisioning Interface)|billing-service|CSG Interactive Messaging (IM)|CSG ENI|CSG CCS (Mainframe)|Enterprise Data Grid|CSG Care Express (eCare)|XCOS - SCMS|CSG Vantage|EATS|Xfinity.com|CSG FSM|CSG ACP Voice|CSG ACSR|CSG SLBOS,4
29,CSG ACSR,billing-service| RE EA Engagement| CSG FSM| CSG ACPx/BCE| CSG ACSR| SteelCloud| CSG SLBOS| CSG ACP Voice|CSG ACPx/BCE| Steel Cloud Portal|CSG ACSR|CSG FSM,Enterprise Applications|a0fe9a52dbba9300b56bfe18bf961959| EA:Core:Payment & Billing| Innovation Operations Platform|ddfeda52dbba9300b56bfe18bf96191b|X1 - XRE Services|IOP - ServiceNow|EA:Core:Payment & Billing| ddfeda52dbba9300b56bfe18bf96191b| a0fe9a52dbba9300b56bfe18bf961959| Customer - My Account| cefe1e52dbba9300b56bfe18bf961924| Enterprise Applications,ContactService V4|CSG Statements|billing-service|esp-api-gateway|XCOS - API Gateway|EmailService - V4|CSG Care Express (eCare)|XCOS - SCMS|EATS|WFM Scheduling Service|Convoy Orchestration Platform|Einstein360|XOE BuyFlow|CustomerCareService (GrandslamAccountService) V4|Xfinity.com|CSG Network|xCP - Customer Product Service|NetworkService - V4|XSP - Secure Document Service|CSG ENI|CSG SLBOS|CAFE|WFA-Apps|RE EA Engagement|MyAccount-Web|Enterprise Data Grid|CSG Vantage|d35fe750db416b00e1de5898dc961943|SOP Docker Automation|WorkorderManagement service|xCP - Customer Service|aiQ|CSG ACP Voice|Tech360|XSP Account Management Service|Billing Service - Tactical Coherence Caching|OnlineVideoService - V4|CSG CCS (Mainframe)|DTAStateService V4|WFX-CSG|Consent UI|CSG FSM,3
30,CSG FSM, MyAccount-Web| CSG Network| WorkorderManagement service| WFX-CSG|billing-service| XCOS - SCMS| aiQ| WFA-Apps|EATS|Convoy Orchestration Platform|CSG ACSR| RE EA Engagement| EATS|Xfinity.com|CSG Network| XOE BuyFlow| CSG SLBOS|CSG SLBOS| Convoy Orchestration Platform| CSG FSM| Tech360| CSG ACSR| WFM Scheduling Service|Tech360| d35fe750db416b00e1de5898dc961943| CAFE| XCOS - API Gateway| Einstein360| Xfinity.com|CSG FSM, Care| 06fe1e52dbba9300b56bfe18bf961923|06fe1e52dbba9300b56bfe18bf961923| Internet (DOCSIS) RDKB| cefe1e52dbba9300b56bfe18bf961924|Central Technology Solutions| EA:Core:Payment & Billing| EA:Services:General| Video|EA:Core:Payment & Billing| EA:Core:Customer & Employee UI Experience|Platform Monitoring| 81fe9a52dbba9300b56bfe18bf9619ce| Central Technology Solutions| Voice| Customer - Customer Engagement|EA:Core:Customer & Employee UI Experience|EA:Services:General| RDK|Enterprise Applications|Legacy Devices|Customer - Customer Engagement| Broadband| Data Center - Access Network Infrastructure|cefe1e52dbba9300b56bfe18bf961924|81fe9a52dbba9300b56bfe18bf9619ce| Enterprise Applications,xCP - Customer Management Service|CSG CAP (CSG Provisioning Interface)|My Account Web - DotCom2 - Front End|PULSE Entitlement|XCOS - SCMS|EATS|Einstein360|DAS|CE-Convoy-CF-Customer Service|CSG ACPx/BCE|CE-Convoy-CF-Context Service|XSP - Secure Document Service|RE EA Engagement|spdb-po-a2p.sys.comcast.net|CSG Vantage|Unified Notes Service|XM360|convoy|xCP - Credit GUI|Customer Service Platform|eGain Chat|Concentrix|CSG Statements|spdb-po-b3p.sys.comcast.net|0b4ea7651b554914c9b826db234bcb36|Intrado - EIVR|MSP|aiq-convoy-business-config|MyAccount-Payments|DBaaS - Oracle|CSG SLBOS|SmartConnect|CSG ACP Voice|Tech360|CNOCAuto Certificate Manager|Consent UI|billing-service|esp-api-gateway|EmailService - V4|CSG Care Express (eCare)|Maestro Oracle KB|SteelCloud|Sitecore CMS|spdb-po-b4p.sys.comcast.net|Convoy Orchestration Platform|Retail360|Xfinity.com|CE-Convoy-CF-API-Gateway|CSG ENI|CE-Convoy-CF-Customer Lookup Service|CE-Convoy-CF-Activation-Provisioning Service|Modesto - Frontend-Retail|Nuance - CHAT|MyAccount-Web|Enterprise Data Grid|xCP - Credit Management Service|CE-Convoy-CF-Communication Service|aiQ|spdb-po-b2p.sys.comcast.net|fa2eeba91b150d50c311c88b234bcb51|CE-Convoy-CF-Account Service|Billing Service - Tactical Coherence Caching|CSG Interactive Messaging (IM)|CSG CCS (Mainframe)|OnlineVideoService - V4|DTAStateService V4|CE-Convoy-CF-Payment Service|CE-Convoy-CF-Account-Load Service|MyAccount-Users|Xumo-AgentPortal|CSG ACSR|f07e23a91bdd09d0b122e2eb234bcbdf|spdb-po-a3p.sys.comcast.net|Steel Cloud Portal|NetworkService - V4|Modesto - Frontend-Care|Einstein Secure Payment Widget|BSD DIGITAL - MyAccount|001eab98db016b00e1de5898dc96193d|spdb-po-b1p.sys.comcast.net|SOP Docker Automation|Help &amp; Support - Web|RetailPOS|NEDDiv-Telecom,5
35,SNP-Discovery, SNP-Discovery|SNP-Middleware|SNP-Discovery|SpectraCM HBase RegionServer| spectra-po-z14p.sys.comcast.net,Enterprise Applications|84c99020db95634063a8f927bf961933|1f4fa322db97df408a79f3861d9619e0| Network Automation|Network Automation| 84c99020db95634063a8f927bf961933| f80a963edbece7c0258af5161d961977| Enterprise Applications,SpectraCM HBase RegionServer|SNP-Device Integration,2
